iter	Passed	Remaining
444	1210	1509
445	1212	1506
446	1215	1503
447	1217	1500
448	1220	1497
449	1222	1494
450	1225	1491
451	1227	1488
452	1230	1485
453	1232	1482
454	1235	1480
455	1238	1476
456	1240	1473
457	1243	1471
458	1245	1468
459	1247	1464
460	1250	1461
461	1252	1458
462	1254	1455
463	1257	1452
464	1259	1449
465	1262	1446
466	1265	1444
467	1269	1442
468	1271	1439
469	1274	1437
470	1277	1435
471	1280	1432
472	1283	1429
473	1285	1427
474	1288	1424
475	1291	1421
476	1293	1418
477	1297	1416
478	1300	1414
479	1302	1411
480	1305	1409
481	1308	1405
482	1311	1404
483	1314	1401
484	1317	1398
485	1320	1396
486	1322	1393
487	1326	1391
488	1328	1388
489	1331	1385
490	1334	1382
491	1336	1380
492	1339	1377
493	1341	1374
494	1344	1371
495	1347	1369
496	1350	1366
497	1352	1363
498	1354	1360
499	1358	1358
500	1360	1355
501	1363	1352
502	1365	1349
503	1368	1346
504	1371	1344
505	1375	1342
506	1377	1339
507	1380	1336
508	1382	1334
509	1385	1331
510	1389	1329
511	1391	1326
512	1393	1323
513	1396	1320
514	1399	1317
515	1401	1314
516	1405	1313
517	1408	1310
518	1411	1307
519	1413	1304
520	1416	1302
521	1420	1300
522	1422	1297
523	1424	1294
524	1427	1291
525	1429	1288
526	1432	1285
527	1436	1284
528	1439	1281
529	1442	1279
530	1445	1276
531	1447	1273
532	1451	1271
533	1454	1268
534	1456	1265
535	1458	1262
536	1461	1260
537	1463	1256
538	1466	1254
539	1470	1252
540	1472	1249
541	1474	1246
542	1476	1242
543	1479	1240
544	1482	1237
545	1484	1234
546	1486	1230
547	1488	1227
548	1490	1224
549	1492	1220
550	1493	1217
551	1497	1215
552	1499	1212
553	1501	1208
554	1503	1205
555	1506	1202
556	1507	1199
557	1509	1196
558	1512	1192
559	1514	1189
560	1517	1187
561	1519	1184
562	1521	1181
563	1523	1178
564	1527	1176
565	1530	1173
566	1533	1170
567	1536	1168
568	1538	1165
569	1541	1162
570	1543	1159
571	1546	1157
572	1549	1154
573	1552	1152
574	1555	1149
575	1558	1147
576	1560	1144
577	1563	1141
578	1566	1138
579	1569	1136
580	1572	1133
581	1574	1130
582	1576	1127
583	1578	1124
584	1581	1121
585	1583	1119
586	1586	1116
587	1589	1113
588	1591	1110
589	1593	1107
590	1596	1104
591	1599	1102
592	1602	1099
593	1605	1097
594	1607	1094
595	1609	1091
596	1612	1088
597	1615	1085
598	1617	1083
599	1620	1080
600	1622	1077
601	1625	1074
602	1627	1071
603	1630	1069
604	1634	1067
605	1636	1064
606	1639	1061
607	1641	1058
608	1644	1055
609	1646	1052
610	1650	1050
611	1652	1047
612	1654	1044
613	1657	1041
614	1659	1038
615	1662	1036
616	1665	1033
617	1667	1030
618	1670	1028
619	1673	1025
620	1677	1023
621	1680	1021
622	1683	1018
623	1685	1015
624	1688	1013
625	1691	1010
626	1693	1007
627	1696	1004
628	1698	1001
629	1701	999
630	1704	996
631	1706	993
632	1709	991
633	1712	988
634	1714	985
635	1717	982
636	1719	980
637	1722	977
638	1725	974
639	1727	971
640	1731	969
641	1733	966
642	1736	964
643	1739	961
644	1741	958
645	1744	955
646	1746	953
647	1749	950
648	1752	947
649	1754	944
650	1757	941
651	1759	939
652	1761	936
653	1764	933
654	1766	930
655	1769	927
656	1772	925
657	1775	922
658	1778	920
659	1780	917
660	1783	914
661	1785	911
662	1788	909
663	1790	906
664	1792	903
665	1795	900
666	1798	897
667	1800	894
668	1803	892
669	1805	889
670	1808	886
671	1810	883
672	1813	881
673	1816	878
674	1819	876
675	1822	873
676	1824	870
677	1827	868
678	1830	865
679	1832	862
680	1835	859
681	1837	856
682	1840	854
683	1843	851
684	1845	848
685	1850	846
686	1853	844
687	1855	841
688	1858	838
689	1860	836
690	1863	833
691	1866	830
692	1868	827
693	1870	824
694	1873	822
695	1876	819
696	1879	817
697	1882	814
698	1884	811
699	1887	808
700	1890	806
701	1892	803
702	1896	801
703	1899	798
704	1901	795
705	1904	792
706	1907	790
707	1909	787
708	1911	784
709	1913	781
710	1916	778
711	1918	776
712	1921	773
713	1923	770
714	1926	767
715	1929	765
716	1931	762
717	1934	759
718	1936	756
719	1939	754
720	1942	751
721	1945	749
722	1947	746
723	1950	743
724	1952	740
725	1955	738
726	1958	735
727	1960	732
728	1962	729
729	1965	726
730	1967	724
731	1970	721
732	1973	718
733	1975	715
734	1977	713
735	1980	710
736	1983	707
737	1986	705
738	1988	702
739	1990	699
740	1992	696
741	1995	693
742	1997	690
743	1999	688
744	2002	685
745	2005	682
746	2007	679
747	2009	677
748	2012	674
749	2014	671
750	2016	668
751	2019	665
752	2021	662
753	2023	660
754	2025	657
755	2028	654
756	2030	651
757	2033	649
758	2035	646
759	2038	643
760	2040	640
761	2044	638
762	2046	635
763	2048	632
764	2051	630
765	2053	627
766	2056	624
767	2061	622
768	2064	620
769	2067	617
770	2069	614
771	2073	612
772	2076	609
773	2080	607
774	2082	604
775	2085	601
776	2087	599
777	2090	596
778	2092	593
779	2095	590
780	2097	588
781	2099	585
782	2102	582
783	2105	579
784	2107	577
785	2110	574
786	2112	571
787	2115	569
788	2117	566
789	2119	563
790	2122	560
791	2124	557
792	2126	555
793	2128	552
794	2130	549
795	2133	546
796	2135	544
797	2138	541
798	2141	538
799	2144	536
800	2146	533
801	2148	530
802	2151	527
803	2153	525
804	2156	522
805	2158	519
806	2161	516
807	2163	514
808	2166	511
809	2168	508
810	2171	506
811	2173	503
812	2176	500
813	2178	497
814	2180	495
815	2183	492
816	2186	489
817	2188	486
818	2190	484
819	2193	481
820	2196	478
821	2198	476
822	2202	473
823	2204	470
824	2206	468
825	2209	465
826	2212	462
827	2215	460
828	2217	457
829	2219	454
830	2221	451
831	2224	449
832	2227	446
833	2229	443
834	2232	441
835	2234	438
836	2236	435
837	2239	432
838	2241	430
839	2244	427
840	2246	424
841	2249	422
842	2251	419
843	2254	416
844	2256	413
845	2259	411
846	2261	408
847	2263	405
848	2266	403
849	2268	400
850	2271	397
851	2273	394
852	2275	392
853	2278	389
854	2280	386
855	2282	384
856	2285	381
857	2287	378
858	2290	375
859	2292	373
860	2295	370
861	2297	367
862	2300	365
863	2302	362
864	2305	359
865	2308	357
866	2310	354
867	2312	351
868	2314	348
869	2317	346
870	2319	343
871	2321	340
872	2323	338
873	2326	335
874	2328	332
875	2330	329
876	2332	327
877	2341	325
878	2343	322
879	2345	319
880	2348	317
881	2350	314
882	2353	311
883	2356	309
884	2357	306
885	2360	303
886	2362	301
887	2365	298
888	2367	295
889	2370	292
890	2371	290
891	2373	287
892	2376	284
893	2378	281
894	2380	279
895	2382	276
896	2387	274
897	2389	271
898	2391	268
899	2394	266
900	2397	263
901	2400	260
902	2402	258
903	2404	255
904	2407	252
905	2410	250
906	2413	247
907	2415	244
908	2418	242
909	2421	239
910	2423	236
911	2426	234
912	2428	231
913	2431	228
914	2434	226
915	2437	223
916	2439	220
917	2442	218
918	2445	215
919	2448	212
920	2450	210
921	2452	207
922	2454	204
923	2457	202
924	2459	199
925	2462	196
926	2464	194
927	2466	191
928	2469	188
929	2471	186
930	2473	183
931	2475	180
932	2479	178
933	2481	175
934	2484	172
935	2486	170
936	2489	167
937	2491	164
938	2493	161
939	2495	159
940	2498	156
941	2500	153
942	2502	151
943	2504	148
944	2507	145
945	2510	143
946	2512	140
947	2515	137
948	2517	135
949	2520	132
950	2523	130
951	2525	127
952	2528	124
953	2531	122
954	2533	119
955	2536	116
956	2539	114
957	2542	111
958	2545	108
959	2548	106
960	2550	103
961	2552	100
962	2555	98
963	2558	95
964	2560	92
965	2562	90
966	2565	87
967	2567	84
968	2569	82
969	2572	79
970	2574	76
971	2577	74
972	2580	71
973	2583	68
974	2586	66
975	2588	63
976	2591	60
977	2593	58
978	2596	55
979	2598	53
980	2601	50
981	2603	47
982	2606	45
983	2609	42
984	2611	39
985	2613	37
986	2624	34
987	2626	31
988	2629	29
989	2632	26
990	2634	23
991	2637	21
992	2639	18
993	2642	15
994	2645	13
995	2647	10
996	2650	7
997	2652	5
998	2655	2
999	2658	0
